epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1283.5,0.79227,0.53045,0.97254,0.81178,0.80292,0.82882,0.57251,1.18066,0.74501,1.29942,0.000569094,0.000569094,0.000569094
43,1313.84,0.77505,0.51948,0.95577,0.85203,0.81796,0.8472,0.57022,1.18211,0.70397,1.308,0.000565559,0.000565559,0.000565559
44,1344.3,0.79121,0.53248,0.95675,0.85691,0.78587,0.83427,0.56663,1.12937,0.70711,1.23671,0.000562025,0.000562025,0.000562025
45,1374.55,0.76002,0.49472,0.9407,0.84516,0.81813,0.86081,0.5758,1.12675,0.66971,1.24284,0.000558491,0.000558491,0.000558491
46,1404.87,0.77521,0.51237,0.94732,0.85812,0.81787,0.84483,0.58146,1.08152,0.65675,1.20729,0.000554956,0.000554956,0.000554956
47,1435.12,0.75073,0.50609,0.94258,0.87042,0.82801,0.85917,0.57614,1.17733,0.70924,1.28093,0.000551422,0.000551422,0.000551422
48,1465.35,0.7363,0.49184,0.94444,0.85381,0.7867,0.8438,0.56607,1.14139,0.67154,1.25398,0.000547888,0.000547888,0.000547888
49,1495.68,0.78197,0.51869,0.95157,0.86399,0.77015,0.84218,0.57431,1.12721,0.68005,1.25882,0.000544354,0.000544354,0.000544354
50,1526.07,0.7402,0.48641,0.93336,0.85708,0.82562,0.86157,0.58302,1.14195,0.67467,1.242,0.000540819,0.000540819,0.000540819
51,1556.52,0.74495,0.48089,0.93989,0.86626,0.79903,0.84798,0.58183,1.12412,0.7017,1.23871,0.000537285,0.000537285,0.000537285
52,1587.02,0.73567,0.47919,0.93178,0.87833,0.78624,0.8468,0.57681,1.13548,0.66441,1.25281,0.000533751,0.000533751,0.000533751
53,1617.61,0.71044,0.45417,0.92896,0.85763,0.78119,0.84638,0.57253,1.14875,0.70262,1.2815,0.000530216,0.000530216,0.000530216
54,1648.18,0.74769,0.47617,0.93959,0.86905,0.83936,0.86115,0.59795,1.12536,0.65532,1.25696,0.000526682,0.000526682,0.000526682
55,1678.9,0.7169,0.47966,0.92967,0.85325,0.82148,0.85039,0.5782,1.13114,0.63509,1.2618,0.000523148,0.000523148,0.000523148
56,1709.47,0.70351,0.44648,0.9288,0.84729,0.8613,0.8709,0.59495,1.12411,0.62791,1.2497,0.000519613,0.000519613,0.000519613
57,1739.79,0.71959,0.4724,0.9302,0.86927,0.81158,0.85806,0.58873,1.11384,0.67248,1.25108,0.000516079,0.000516079,0.000516079
58,1770.28,0.68554,0.44686,0.92389,0.82854,0.78686,0.8341,0.57529,1.12856,0.70907,1.26191,0.000512545,0.000512545,0.000512545
59,1800.76,0.70715,0.46244,0.92213,0.83488,0.82266,0.85914,0.57647,1.10671,0.64561,1.25826,0.000509011,0.000509011,0.000509011
60,1831.24,0.6956,0.4496,0.9351,0.84527,0.81347,0.84095,0.57446,1.12215,0.67329,1.26108,0.000505476,0.000505476,0.000505476
61,1861.73,0.69693,0.4551,0.92056,0.83399,0.79546,0.84108,0.58645,1.11461,0.69285,1.24715,0.000501942,0.000501942,0.000501942
62,1892.09,0.6784,0.44321,0.91815,0.87495,0.80311,0.8505,0.5754,1.11388,0.68504,1.2328,0.000498408,0.000498408,0.000498408
63,1922.56,0.68682,0.44748,0.92214,0.85974,0.80149,0.83944,0.56283,1.12736,0.68855,1.30125,0.000494873,0.000494873,0.000494873
64,1952.92,0.6737,0.43907,0.9122,0.81225,0.83063,0.84765,0.56922,1.15623,0.69664,1.30257,0.000491339,0.000491339,0.000491339
65,1983.22,0.66823,0.43026,0.91195,0.84898,0.79745,0.84578,0.57521,1.11843,0.67263,1.25651,0.000487805,0.000487805,0.000487805
66,2013.42,0.65056,0.42652,0.904,0.81279,0.81604,0.82757,0.56954,1.15833,0.67379,1.30243,0.000484271,0.000484271,0.000484271
67,2043.71,0.65706,0.42693,0.91742,0.82212,0.80446,0.83441,0.58294,1.12586,0.67386,1.25586,0.000480736,0.000480736,0.000480736
68,2073.97,0.66665,0.43999,0.91885,0.8835,0.80458,0.83471,0.56872,1.09515,0.65179,1.24841,0.000477202,0.000477202,0.000477202
69,2104.3,0.64798,0.41799,0.90662,0.82116,0.83643,0.83421,0.58099,1.11422,0.68357,1.2527,0.000473668,0.000473668,0.000473668
70,2134.79,0.66834,0.42075,0.90683,0.82715,0.80639,0.83139,0.58311,1.11534,0.69447,1.25333,0.000470133,0.000470133,0.000470133
71,2165.19,0.67154,0.42869,0.91287,0.83175,0.80318,0.83281,0.57081,1.11654,0.71329,1.25462,0.000466599,0.000466599,0.000466599
72,2195.6,0.66238,0.41916,0.90391,0.84076,0.80097,0.83197,0.57633,1.10293,0.68048,1.26939,0.000463065,0.000463065,0.000463065
73,2226.05,0.63042,0.39822,0.89742,0.81421,0.831,0.83524,0.58084,1.0665,0.66489,1.22095,0.00045953,0.00045953,0.00045953
74,2256.59,0.64284,0.41132,0.9054,0.8578,0.81113,0.85012,0.5812,1.08251,0.68253,1.26243,0.000455996,0.000455996,0.000455996
75,2287.13,0.64206,0.42425,0.90802,0.8113,0.81671,0.83337,0.58475,1.11834,0.66642,1.26182,0.000452462,0.000452462,0.000452462
76,2317.65,0.63532,0.40522,0.89964,0.83363,0.81053,0.82857,0.56456,1.13533,0.7016,1.27927,0.000448928,0.000448928,0.000448928
77,2348.08,0.62469,0.40924,0.90321,0.84386,0.8223,0.84262,0.57744,1.1043,0.7038,1.2594,0.000445393,0.000445393,0.000445393
78,2378.57,0.64179,0.41944,0.8978,0.80958,0.84017,0.84637,0.58587,1.1455,0.70112,1.32593,0.000441859,0.000441859,0.000441859
79,2409.1,0.62438,0.4076,0.8963,0.83951,0.81441,0.83657,0.58511,1.07234,0.67238,1.2502,0.000438325,0.000438325,0.000438325
80,2439.56,0.62546,0.40024,0.9007,0.84364,0.79596,0.83604,0.58593,1.10291,0.67623,1.27748,0.00043479,0.00043479,0.00043479
81,2469.97,0.62275,0.40434,0.90482,0.86318,0.80528,0.85062,0.58442,1.08888,0.64051,1.26389,0.000431256,0.000431256,0.000431256
82,2500.33,0.62791,0.41464,0.90459,0.82958,0.81464,0.83935,0.57768,1.10928,0.66886,1.27282,0.000427722,0.000427722,0.000427722
83,2530.54,0.64639,0.42712,0.89901,0.84097,0.81341,0.84598,0.57687,1.1104,0.65731,1.29875,0.000424187,0.000424187,0.000424187
84,2560.83,0.62372,0.39419,0.90048,0.87116,0.77908,0.83659,0.57409,1.1004,0.66667,1.26587,0.000420653,0.000420653,0.000420653
85,2591.21,0.62811,0.39954,0.90567,0.85524,0.78982,0.84225,0.58026,1.13035,0.6794,1.27677,0.000417119,0.000417119,0.000417119
86,2621.4,0.60796,0.39026,0.90271,0.85656,0.83934,0.86126,0.58737,1.06783,0.61399,1.25069,0.000413584,0.000413584,0.000413584
87,2651.6,0.61712,0.39269,0.89354,0.88007,0.83555,0.85587,0.59664,1.10621,0.65957,1.28839,0.00041005,0.00041005,0.00041005
88,2681.96,0.60633,0.39451,0.89161,0.85617,0.80813,0.84959,0.59249,1.06809,0.69191,1.23915,0.000406516,0.000406516,0.000406516
89,2712.41,0.5988,0.39232,0.89015,0.8515,0.78474,0.84124,0.58468,1.08322,0.68558,1.26206,0.000402982,0.000402982,0.000402982
90,2742.87,0.60611,0.39088,0.8796,0.84009,0.79316,0.82927,0.58441,1.13695,0.69879,1.29908,0.000399447,0.000399447,0.000399447
91,2773.28,0.59231,0.38331,0.89355,0.82471,0.80978,0.82906,0.5836,1.10286,0.68841,1.26995,0.000395913,0.000395913,0.000395913
92,2803.71,0.59379,0.37662,0.88547,0.87039,0.79108,0.84212,0.58809,1.07527,0.66966,1.26323,0.000392379,0.000392379,0.000392379
93,2834.17,0.58351,0.37794,0.88616,0.88854,0.76717,0.83233,0.58318,1.10404,0.69068,1.27335,0.000388844,0.000388844,0.000388844
94,2864.64,0.58644,0.38286,0.88534,0.86766,0.77868,0.84554,0.5849,1.08531,0.68011,1.26148,0.00038531,0.00038531,0.00038531
