                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59927,                0.32835,                0.88747,                0.99438,                0.97976,                0.99328,                0.83242,                0.67152,                0.28765,                0.85058,              0.0002192,              0.0002192,              0.0002192
                     37,                0.62276,                0.33495,                0.88953,                0.98152,                0.98502,                0.99294,                0.83506,                0.65331,                0.28365,                0.84378,             0.00020506,             0.00020506,             0.00020506
                     38,                0.59289,                0.32726,                0.87594,                0.98808,                 0.9787,                0.99413,                0.84643,                0.64419,                0.28858,                0.83857,             0.00019092,             0.00019092,             0.00019092
                     39,                0.60689,                  0.328,                0.87988,                 0.9768,                0.98145,                0.99306,                0.83178,                0.69188,                0.29803,                0.85527,             0.00017679,             0.00017679,             0.00017679
                     40,                0.58961,                0.32075,                0.87334,                0.98146,                0.98651,                0.99274,                0.83866,                0.65507,                0.28084,                0.84434,             0.00016265,             0.00016265,             0.00016265
                     41,                0.56171,                0.29296,                0.84805,                0.98816,                0.98553,                0.99227,                0.82904,                0.66561,                0.28797,                0.84998,             0.00014851,             0.00014851,             0.00014851
                     42,                0.56418,                0.28268,                0.85563,                0.99317,                0.98144,                 0.9923,                0.82988,                0.65739,                0.29258,                0.85039,             0.00013437,             0.00013437,             0.00013437
                     43,                0.54751,                0.27749,                0.84919,                0.98675,                0.97808,                0.99208,                0.83383,                0.66544,                0.29652,                0.85228,             0.00012024,             0.00012024,             0.00012024
                     44,                  0.545,                0.28044,                0.84585,                0.99253,                0.97133,                  0.993,                0.83046,                0.68177,                0.29683,                0.86082,              0.0001061,              0.0001061,              0.0001061
                     45,                0.52288,                0.26539,                0.83578,                 0.9852,                0.97976,                0.99174,                0.84302,                0.65017,                 0.2828,                0.84532,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.55158,                0.26977,                0.85116,                0.98815,                0.98473,                0.99328,                0.84249,                0.65629,                0.28171,                0.84613,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                  0.527,                0.26366,                0.83633,                0.98489,                0.98922,                0.99335,                0.83827,                0.65884,                0.27847,                0.84894,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.52085,                0.25693,                0.83685,                 0.9847,                0.98482,                0.99319,                0.84469,                0.64841,                0.27586,                0.84528,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.51682,                0.25053,                0.84428,                 0.9843,                0.98482,                0.99356,                0.84363,                0.65394,                0.27681,                0.84807,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.52484,                0.25357,                0.83612,                 0.9848,                 0.9834,                0.99337,                0.84808,                0.64325,                0.27332,                0.84289,             2.1277e-05,             2.1277e-05,             2.1277e-05
