                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4946,                0.65725,                 1.9036,                0.95142,                0.91789,                0.96329,                0.66312,                 1.3365,                0.45883,                 1.8333,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.4582,                0.64344,                 1.8911,                0.92174,                0.94463,                0.95638,                0.65057,                 1.4844,                0.47925,                 1.8755,              0.0002192,              0.0002192,              0.0002192
                     37,                 1.4251,                0.64775,                 1.8786,                0.88109,                 0.8939,                0.89783,                0.66927,                 1.3741,                0.44587,                 1.8403,             0.00020506,             0.00020506,             0.00020506
                     38,                 1.4511,                0.65038,                 1.8884,                0.93335,                0.96078,                0.94827,                0.66139,                  1.406,                0.46348,                 1.8547,             0.00019092,             0.00019092,             0.00019092
                     39,                 1.4193,                0.63782,                 1.8793,                0.95211,                0.90784,                 0.9549,                0.66509,                 1.4507,                 0.4522,                 1.8447,             0.00017679,             0.00017679,             0.00017679
                     40,                 1.4154,                0.62242,                 1.8727,                0.96525,                 0.9312,                 0.9688,                0.67244,                 1.3898,                0.42922,                 1.8395,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.4032,                0.55859,                 1.8946,                0.97022,                0.92975,                0.96543,                0.68974,                 1.3361,                0.43278,                 1.8231,             0.00014851,             0.00014851,             0.00014851
                     42,                  1.368,                0.53665,                 1.8888,                0.93317,                0.94118,                0.95842,                0.67771,                 1.3788,                0.44508,                 1.8394,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.3367,                0.51651,                 1.8616,                0.95711,                0.96078,                0.96239,                0.65499,                 1.3769,                0.45287,                 1.8595,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.3145,                0.50902,                 1.8507,                0.88334,                0.89412,                0.89369,                0.65586,                 1.3491,                0.43596,                 1.8553,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.3293,                0.50716,                 1.8703,                0.90449,                0.92316,                0.91688,                0.64589,                 1.3506,                 0.4406,                 1.8662,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.2899,                0.49049,                 1.8398,                 0.9577,                0.95824,                0.96472,                 0.6691,                 1.3468,                0.41881,                 1.8413,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.2837,                0.49314,                 1.8348,                0.91963,                0.97862,                0.96853,                0.66386,                 1.3807,                0.42931,                 1.8448,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.2474,                0.47662,                 1.8223,                   0.92,                0.93344,                0.92443,                0.66343,                 1.3377,                0.41327,                 1.8354,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.2208,                0.46474,                 1.8132,                0.95944,                0.96078,                0.96686,                0.66712,                 1.3418,                 0.4171,                 1.8448,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                  1.234,                0.46961,                 1.8224,                0.96154,                0.96267,                0.96927,                0.66851,                 1.3556,                0.41559,                 1.8482,             2.1277e-05,             2.1277e-05,             2.1277e-05
